ANO,UF,Código IBGE ,Município,Nº do Decreto,Data do Decreto,Desastre,SE/ECP,Nº da Portaria,Data da Portaria
2009,CE,2311959,SALITRE,-,-,ESTIAGEM,SE,139,-
2009,CE,2312205,SANTA QUITÉRIA,-,-,ESTIAGEM,SE,193,-
2009,CE,2312007,SANTANA DO ACARAÚ,29731,11/05/09,INUNDAÇÕES,SE,1111,21/12/09
2009,CE,2312106,SANTANA DO CARIRI,-,-,ESTIAGEM,SE,495,-
2009,CE,2312106,SANTANA DO CARIRI,29772,01/06/09,ENXURRADAS,SE,1120,01/06/09
2009,CE,2312403,SÃO GONÇALO DO AMARANTE,29771,01/06/09,INUNDAÇÕES,SE,966,30/10/09
2009,CE,2312502,SÃO JOÃO DO JAGUARIBE,-,-,ESTIAGEM,SE,496,-
2009,CE,2312502,SÃO JOÃO DO JAGUARIBE,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2312700,SENADOR POMPEU,-,-,ESTIAGEM,SE,497,-
2009,CE,2312700,SENADOR POMPEU,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2312908,SOBRAL,-,-,INUNDAÇÕES,SE,706,-
2009,CE,2313005,SOLONÓPOLE,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2313104,TABULEIRO DO NORTE,-,-,ESTIAGEM,SE,207,-
2009,CE,2313104,TABULEIRO DO NORTE,29744,19/05/09,INUNDAÇÕES,SE,1070,09/12/09
2009,CE,2313203,TAMBORIL,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2313302,TAUÁ,-,-,ESTIAGEM,SE,260,-
